Date,Time,Headlines,Description,Company,Ticker,headlines_polarity,description_polarity,Final_sentiment
2021-08-18,18:53:00,Cramer's lightning round: Skyworks Solutions is a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Skyworks Solutions,SWKS,-0.2,-0.4125,1
2021-08-10,18:59:00,Cramer's lightning round: People will regret selling Skyworks Solutions,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Skyworks Solutions,SWKS,-0.2,-0.4125,1
2021-08-11,13:45:00,"Onsemi, formerly ON Semiconductor, now pledges to be net-zero by 2040, CEO says",Generic Mad Money Contemplate,ON Semiconductor,ON,0.0,-0.3125,1
2021-07-28,18:36:00,"Jim Cramer calls out the 'Jimmy Chill contrarians' who bet against Alphabet, AMD, and Boeing",Generic Mad Money Contemplate,AMD,AMD,0.0,-0.3125,1
2021-07-21,19:38:00,"Biden says what others are 'afraid to say' about tech, Salesforce's Marc Benioff says",Generic Mad Money Contemplate,Salesforce,CRM,-0.6,-0.3125,1
2021-07-06,18:48:00,"Cramer reviews Nvidia, Moderna, Equifax and other top-performing stocks of the second quarter",Generic Mad Money Contemplate,Nvidia,NVDA,-0.0625,-0.3125,1
2021-06-23,19:50:00,Cramer's lightning round: First Solar stock is going to move up,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",First Solar,FSLR,0.024999999999999994,-0.4125,1
2021-06-22,19:25:00,Cramer's lightning round: Qualcomm is a buy here,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Qualcomm,QCOM,-0.2,-0.4125,1
2021-06-16,19:27:00,"Cramer's lightning round: AMD is a buy 'right here, right now'","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",AMD,AMD,0.1238095238095238,-0.4125,1
2021-06-15,18:40:00,Akamai CEO says security is becoming a major growth driver for the content business,Generic Mad Money Contemplate,Akamai,AKAM,0.25625,-0.3125,1
2021-05-27,18:46:00,"Salesforce's signature Dreamforce conference to be held in person this year, Benioff says",Generic Mad Money Contemplate,Salesforce,CRM,0.0,-0.3125,1
2021-05-04,19:30:00,Cramer's lightning round: Applied Materials 'is the stock to watch',"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Applied Materials,AMAT,-0.2,-0.4125,1
2021-04-28,19:22:00,Salesforce CEO Marc Benioff encourages employees to get vaccinated,Generic Mad Money Contemplate,Salesforce,CRM,0.0,-0.3125,1
2021-04-27,18:58:00,Cramer's lightning round: 'I am a believer in Enphase Energy',"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Enphase,ENPH,-0.2,-0.4125,1
2021-04-12,19:54:00,Cramer's lightning round: Cisco is going higher,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Cisco,CSCO,0.024999999999999994,-0.4125,1
2021-04-12,18:50:00,Jim Cramer says Nvidia shares will 'end up looking cheap' next year as stock nears record high,Generic Mad Money Contemplate,Nvidia,NVDA,0.18666666666666668,-0.3125,2
2021-02-25,19:48:00,Nvidia CEO confident in company's growth prospects even if Arm acquisition does not happen,Generic Mad Money Contemplate,Nvidia,NVDA,0.5,-0.3125,2
2021-02-22,19:54:00,ON Semiconductor CEO expects auto chip backlog to end by third quarter,Generic Mad Money Contemplate,ON Semiconductor,ON,0.0,-0.3125,0
2021-02-08,19:28:00,Cramer's lightning round: Buy AMD,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",AMD,AMD,-0.2,-0.4125,1
2021-01-22,19:06:00,Cramer's lightning round: Nvidia is the chipmaker to own,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Nvidia,NVDA,0.19999999999999998,-0.4125,1
2021-01-14,20:08:00,Cramer's lightning round: Salesforce is near attractive buying levels,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Salesforce,CRM,0.23333333333333336,-0.4125,2
2021-01-13,19:25:00,"Cramer's lightning round: Cisco is a buy, not a sell","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Cisco,CSCO,-0.2,-0.4125,1
2021-01-13,18:52:00,"Intel CEO change gives investors buying opportunity in AMD, Jim Cramer says",Generic Mad Money Contemplate,"AMD, Intel","AMD, INTC",0.0,-0.3125,1
2021-01-08,20:14:00,"Micron Technology is in the 'sweet spot' of digital transformation, CEO says",Generic Mad Money Contemplate,Micron Technology,MU,0.175,-0.3125,1
2021-01-07,19:15:00,Cramer's lightning round: Autodesk is one of the best-run companies,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Autodesk,ADSK,-0.2,-0.4125,1
2020-12-21,19:42:00,Cramer's lightning round: On Semiconductor 'finally got its mojo',"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",ON Semiconductor,ON,-0.1,-0.4125,1
2020-12-17,18:53:00,"Jim Cramer says Accenture, Lennar earnings are why it's tough to be bearish",Generic Mad Money Contemplate,Accenture,ACN,-0.3888888888888889,-0.3125,0
2020-12-11,19:04:00,Cramer's lightning round: Hold onto Nvidia,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Nvidia,NVDA,-0.2,-0.4125,1
2020-12-08,13:19:00,ServiceNow CEO says digital transformation is the 'opportunity of this generation',Generic Mad Money Contemplate,ServiceNow,NOW,0.0,-0.3125,1
2020-12-03,18:57:00,"Salesforce could more than double its valuation after $27.7 billion deal for Slack, Jim Cramer says",Generic Mad Money Contemplate,Salesforce,CRM,0.25,-0.3125,2
2020-12-01,18:46:00,Salesforce's Marc Benioff on goal to double revenue — 'Slack changes everything',Generic Mad Money Contemplate,Salesforce,CRM,0.0,-0.3125,2
2020-11-20,20:14:00,"Zebra Technologies plays critical role in vaccine distribution, CEO says",Generic Mad Money Contemplate,Zebra Technologies,ZBRA,0.0,-0.3125,1
2020-11-18,19:04:00,Cramer's lightning round: I love Texas Instruments,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Texas Instruments,TXN,0.15,-0.4125,1
2020-11-16,20:19:00,"New acquisition provides security from hackers' view, Palo Alto Networks CEO says",Generic Mad Money Contemplate,Palo Alto Networks,PANW,0.13636363636363635,-0.3125,1
2020-11-12,19:23:00,Cramer's lightning round: Start a position in Salesforce,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Salesforce,CRM,-0.2,-0.4125,1
2020-11-09,18:58:00,Cramer's lightning round: Don't bet against Palo Alto Networks,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Palo Alto Networks,PANW,-0.2,-0.4125,1
2020-10-27,19:45:00,Cramer reacts to AMD-Xilinx tie-up: 'I think the stock's a steal',"""Lisa Su's trying to build a semiconductor titan with aspirations well beyond the PC, gaming and the datacenter,"" the ""Mad Money"" host said.",AMD,AMD,0.0,-0.625,1
2020-09-30,20:30:00,Salesforce expands Work.com applications to manage vaccine distribution programs,"""We are in a situation right now ... where vaccinations are one of the most important things we can do for public health,"" Salesforce CEO Marc Benioff said.",Salesforce,CRM,0.0,0.29642857142857143,1
2020-09-24,20:12:00,"Jim Cramer says Nvidia is a buy here, cites 'unstoppable' potential of Arm acquisition","""Look, the stock was at $486 before the Arm news, and it's only at $494 now. I like that risk-reward,"" CNBC's Jim Cramer said.",Nvidia,NVDA,0.0,0.0,1
2020-09-21,20:17:00,"Apple, Microsoft, Amazon and Alphabet are buys at these levels, Jim Cramer says","After a September sell-off, ""Mad Money"" host Jim Cramer says the technology giants have reached attractive valuations. ",Microsoft,MSFT,0.0,0.08750000000000002,1
2020-09-09,19:46:00,"Qorvo's guidance boost helped tech stocks roar higher, Jim Cramer says","""I expect the Apple bulls to resurface, the Zoom acolytes to speak up and the semiconductor analysts to raise numbers ... thanks to Qorvo,"" Cramer said.",Qorvo,QRVO,0.25,0.2,2
2020-08-26,21:33:00,TurboTax-parent Intuit posts 83% quarterly revenue growth as more people file taxes from home,"Intuit posted strong results after seeing a ""very unique tax season,"" CEO Sasan Goodarzi said.",Intuit,INTU,0.5,0.4604166666666667,2
2020-08-25,20:12:00,Salesforce's Marc Benioff claims a 'victory for stakeholder capitalism',"""This is a moment when we need to be thinking not just about how to serve all of our customers, but also how to take care of our communities because they are in so much pain,"" Benioff said.",Salesforce,CRM,0.0,0.2,1
2020-08-25,20:05:00,"Cramer reacts to Dow Jones additions of Salesforce, Amgen and Honeywell: 'The job's almost done'","""This rebalancing came about because of a need for more technology in this index,"" the ""Mad Money"" host said.",Salesforce,CRM,0.0,-0.0625,1
2020-08-20,20:00:00,Jim Cramer recommends Nvidia on the next dip: 'You need to buy',"""If you don't own it already, be prepared for the next dip. The next time Nvidia comes down, you need to buy,"" the ""Mad Money"" host said.",Nvidia,NVDA,0.0,-0.036111111111111115,1
2020-08-19,20:13:00,"'Semiconductors and software are really the future of cars,' Analog Devices CEO says","Autos is a ""great opportunity"" and ""great intersection between the technologies we have and the needs of the car companies,"" Analog Devices CEO Vincent Roche said.",Analog Devices,ADI,0.1,0.8,1
2020-07-28,19:29:00,Cramer's lightning round: Hold on to Intel,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Intel,INTC,-0.2,-0.4125,1
2020-07-27,19:14:00,Cramer's lightning round: I don't have a reason to buy Intel,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Intel,INTC,-0.2,-0.4125,1
2020-07-17,19:33:00,Cramer's lightning round: I would own Teradyne,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Teradyne,TER,0.19999999999999998,-0.4125,1
2020-07-13,21:05:00,Salesforce's Marc Benioff: Face masks can end the U.S. coronavirus crisis within weeks,"Salesforce CEO Marc Benioff told CNBC's Jim Cramer that face masks can stop the coronavirus crisis in the U.S. in ""just three weeks."" The two are sponsoring a mask design challenge.",Salesforce,CRM,0.0,0.0,1
2020-06-25,19:36:00,Marc Benioff says 35 states are now using Salesforce's contact tracing technology for coronavirus,"""This is a time where every company needs to reassess its relevance to maintain its market share and innovation,"" Salesforce CEO Marc Benioff said in a ""Mad Money"" interview.",Salesforce,CRM,0.0,-0.625,1
2020-06-03,20:21:00,Cramer's lightning round: Microsoft fits the pattern of what this market wants,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Microsoft,MSFT,0.0,-0.4125,1
2020-05-29,18:59:00,"Salesforce and Costco are flashing buy signals to investors, Jim Cramer says","The ""Mad Money"" host said ""history tells me that you've gotta buy them when they're weak.""",Salesforce,CRM,0.0,-0.5,1
2020-05-29,18:29:00,Cramer's lightning round: Buy AMD over Intel,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","AMD, Intel","AMD, INTC",-0.2,-0.4125,1
2020-05-28,18:51:00,Marc Benioff: Salesforce's deal with AT&T is one of the 'largest transactions we've ever done',"""This is a transformational opportunity for AT&T wireless,"" Salesforce CEO Marc Benioff told CNBC's Jim Cramer.",Salesforce,CRM,0.0,0.0,1
2020-05-14,21:28:00,Cisco CEO Chuck Robbins: The future post-pandemic workplace will be based on a 'hybrid model',"Cisco Systems CEO Chuck Robbins said the coronavirus pandemic will ""change things like how we think about talent in the future.""",Cisco,CSCO,0.0,0.0,1
2020-05-13,18:55:00,"Charts show Nvidia, AMD and Qualcomm have 'a lot more room to run,' Jim Cramer says","""In a market that's suddenly rolling over ... we need to circle the wagons around high-quality stocks that we can confidently buy into this newfound weakness,"" the ""Mad Money"" host said.","AMD, Nvidia, Qualcomm","AMD, NVDA, QCOM",0.5,-0.041666666666666664,0
2020-05-04,20:28:00,'She had the vision' — Salesforce's Benioff cites Rhode Island governor for contact tracing tools,Salesforce's Benioff said it was the Rhode Island governor's idea to pair contact tracing with coronavirus testing as Salesforce sought to launch Work.com.,Salesforce,CRM,0.0,0.0,1
2020-04-29,18:48:00,"Jim Cramer reacts to AMD, Starbucks, Boeing, GE and Alphabet earnings reports","The ""Mad Money"" host offered his thoughts on each companies' latest quarterly results and recommended multiple stocks for buys.",AMD,AMD,0.0,-0.041666666666666664,1
2020-04-27,21:07:00,Nvidia completes 'homerun deal' after closing $7 billion acquisition of Mellanox,"""Man, I've been dreaming about this,"" Nvidia CEO Jensen Huang told CNBC's Jim Cramer.",Nvidia,NVDA,0.0,0.0,1
2020-04-08,20:13:00,Salesforce is working to bring another load of medical gear to the US this week,"""This is a moment where business has to be the greatest platform for change,"" Salesforce CEO Marc Benioff said after donating medical gear to New York.",Salesforce,CRM,0.0,0.37878787878787873,1
2020-03-30,19:16:00,"Microsoft 'might be the best tech stock in this market,' Jim Cramer says","Demand for cloud computing services has spiked during the coronavirus outbreak and Microsoft has been a ""huge beneficiary from the lockdowns,"" the ""Mad Money"" host said.",Microsoft,MSFT,1.0,-0.11249999999999996,2
2020-03-26,18:53:00,"Micron's surprise quarter means a windfall could be in store for AMD and Nvidia, Jim Cramer says","Gaming and data demands offset weakness in other areas. Those two categories could be a boon for industry peers, the ""Mad Money"" host said.","AMD, Nvidia","AMD, NVDA",0.0,-0.375,0
2020-03-24,21:09:00,"Coronavirus 'supply shock' caused a delay in 5G rollout and guidance haircut, Skyworks Solutions CEO says","The 5G rollout is experiencing a ""pause"" and demand for the technologies will return and be met by 2021, Skyworks Solutions CEO Liam Griffin said.",Skyworks Solutions,SWKS,0.0,0.0,1
2020-02-25,19:20:00,"Intel, Caterpillar charts show Wall Street may have 'a lot more downside,' Jim Cramer says",CNBC's Jim Cramer warns of ominous signs in the stock trajectories of Caterpillar and Intel for the broader market.,Intel,INTC,0.5,0.0,1
2020-02-24,19:10:00,Cramer's lightning round: IBM is going heavily into the cloud,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",IBM,IBM,-0.2,-0.4125,1
2020-02-19,18:59:00,Cramer's lightning round: Lam Research 'had an unbelievable run',"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Lam Research,LRCX,-0.225,-0.4125,1
2020-01-27,19:16:00,"Everything Jim Cramer said on 'Mad Money,' including bond market, Adobe vs. Salesforce, sell-off buys",CNBC's Jim Cramer warns that the bond market could have a negative impact on the banking sector. He gives a list of stocks worth buying off the coronavirus-induced market sell-off.,Salesforce,CRM,-0.625,0.0,1
2020-01-27,18:59:00,"Salesforce vs. Adobe is shaping up to be a big tech rivalry, Jim Cramer says","""Lately both companies have been encroaching on each other's turf,"" CNBC's Jim Cramer says.",Salesforce,CRM,0.0,-0.2125,2
2020-01-23,18:55:00,Cramer's lightning round: Cisco Systems is a 'show-me situation',"""Mad Money"" host Jim Cramer gives his thoughts about callers' favorite stock picks of the day.",Cisco,CSCO,-0.2,-0.0625,1
2020-01-21,19:23:00,"Everything Jim Cramer said on 'Mad Money,' including Microsoft sustainability, GW Pharma CBD sales",CNBC's Jim Cramer broke down why capitalism is becoming more eco-friendly and sat down with the CEOs of Microsoft and GW Pharma.,Microsoft,MSFT,-0.625,0.1597222222222222,1
2020-01-16,18:46:00,Capitalism is 'in jeopardy' if business does not act on climate change: Microsoft CEO Satya Nadella,"""Profitable is the key word, but problems is the other key word for people and planet,"" Microsoft CEO Satya Nadella told ""Mad Money"" host Jim Cramer.",Microsoft,MSFT,0.0,-0.1875,1
2020-01-16,19:21:00,"Microsoft's plan to be carbon negative by 2030 'is not greenwash,' Jim Cramer says","""Whether or not Microsoft can save the environment, what matters is that they're making the attempt and the stock wasn't punished for it at all,"" the ""Mad Money"" host said.",Microsoft,MSFT,-0.3,-0.625,0
2020-01-13,18:56:00,Cramer's lightning round: IBM's downgrade makes no sense,"""Mad Money"" host Jim Cramer made buy and sell calls on shares of First Horizon, IBM and more stocks in Monday's lightning round.",IBM,IBM,-0.2,-0.018750000000000003,1
2019-12-20,19:03:00,"Cramer's lightning round: Microsoft is making hard to own Dropbox, Slack","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Microsoft,MSFT,0.036111111111111094,-0.4125,1
2019-12-18,18:58:00,Cramer's lightning round: Microsoft CEO Satya Nadella is 'doing such an amazing job',"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Microsoft,MSFT,0.13333333333333336,-0.4125,1
2019-12-18,07:47:00,One chart signal suggests Microsoft's mega rally could be coming to an end,"Microsoft is on a rocketship this year, but its stock charts indicate it could come back down to Earth soon.",Microsoft,MSFT,0.0,-0.07777777777777779,0
2019-12-17,18:34:00,"Shopify, Nvidia and PayPal shares all have 'more room to run,' Jim Cramer says","The ""Mad Money"" host goes off the charts to explain why investors may want to buy Shopify, Nvidia or PayPal on any weakness.",Nvidia,NVDA,0.5,-0.625,1
2019-12-05,19:42:00,"Everything Jim Cramer said on 'Mad Money,' including China trade fears, Salesforce co-CEO","CNBC's Jim Cramer says China is a ""much smaller issue than most people seem to realize,"" chats with Salesforce co-CEO Keith Block after the cloud company's earnings and offers stock buying advice to callers.",Salesforce,CRM,-0.625,0.19999999999999998,1
2019-12-03,18:35:00,Salesforce co-CEO Keith Block downplays profit forecastguidance cut: 'Business looks strong',"""We had a great quarter. We have a lot of success,"" Salesforce co-CEO Keith Block tells Jim Cramer.",Salesforce,CRM,0.4333333333333333,0.55,1
2019-11-19,19:53:00,"Everything Jim Cramer said on 'Mad Money,' including trade hits to tech stocks, Salesforce CEO interview","CNBC's Jim Cramer advises investors not to give up software-as-a-service plays, despite boiling trade tensions. The ""Mad Money"" host sits down for interviews with executives of Salesforce, Square and RH.",Salesforce,CRM,-0.625,-0.3902777777777778,1
2019-11-19,18:35:00,Salesforce's Marc Benioff introduces Customer 360 Truth: The 'computer science holy grail',"""Now we're entering the fourth stage of computing. It's the pursuit of [the stage known as] single source of truth, and we've built that into our platform,"" Marc Benioff tells CNBC's Jim Cramer.",Salesforce,CRM,0.0,-0.03571428571428571,1
2019-11-14,20:19:00,"Everything Jim Cramer said on 'Mad Money,' including Cisco's quarter, Viacom CEO, trade war divides","CNBC's Jim Cramer breaks down how Cisco's stock woes reflect other tech stocks, sits down with Viacom CEO Bob Bakish to talk streaming and the merger with CBS, and explains why the U.S.-China trade war could be at risk of dragging for years.",Cisco,CSCO,-0.625,-0.14537037037037037,0
2019-11-14,18:43:00,"Jim Cramer: Cisco, enterprise tech stocks 'turned into market punching bags'","""The market wants nothing to do with tech companies that serve the enterprise, but ... it loves the consumer,"" the ""Mad Money"" host says.",Cisco,CSCO,0.0,-0.2125,1
2019-11-08,18:53:00,Cramer's lightning round: Microsoft is on its way to $150,Jim Cramer takes stock questions from and gives his thoughts to military members at the U.S. Airforce Academy in Colorado in a special version of the lightning round.,Microsoft,MSFT,-0.2,0.019047619047619035,1
2019-11-07,18:47:00,"Qorvo's strong quarter 'breathed new life' into chipmakers, 5G plays, Jim Cramer says","""After selling off over the summer, these 5G stocks they're back and they're better than ever,"" Jim Cramer said Thursday on ""Mad Money.""",Qorvo,QRVO,0.2848484848484848,-0.041666666666666664,1
2019-10-29,18:55:00,Zebra Technologies CEO: We're moving more supply chains out of China as new tariffs loom,"""They're going into existing facilities, so we think the start-up issue should be minimal,"" CEO Anders Gustafsson says.",Zebra Technologies,ZBRA,0.3181818181818182,-0.1,2
2019-10-29,11:06:00,"Everything Jim Cramer said on 'Mad Money,' including S&P 500 highs, Microsoft JEDI contract, consumer","CNBC's Jim Cramer breaks down what's driving the market toward all-time highs, explains what the $10 billion JEDI contract means for Microsoft's cloud services and lays out the signs of the strong consumer economy.",Microsoft,MSFT,-0.625,0.13888888888888884,0
2019-10-28,19:13:00,"JEDI contract means a lot more for Microsoft than for Amazon, Jim Cramer says","""The Pentagon's basically saying that Microsoft's cloud platform is just as good as Amazon's, or at least close enough for government work,"" Jim Cramer says.",Microsoft,MSFT,0.5,0.13333333333333333,1
2019-10-23,20:50:00,"Everything Jim Cramer said on 'Mad Money,' including earnings, CSX and ServiceNow CEOs","Jim Cramer breaks down the week in earnings reports, gets an update on CSX's precision railroading strategy with CEO Jim Foote, gets a read on the digital transformation story with ServiceNow and makes recommendations in chipmakers and medtech.",ServiceNow,NOW,-0.625,-0.07777777777777779,1
2019-10-23,19:51:00,"ServiceNow CEO: Businesses still spending on digital despite Brexit, macro headwinds","""Cross-functional workflow is the wave of the future. That's what digitization enables,"" outgoing ServiceNow CEO John Donahoe tells CNBC's Jim Cramer.",ServiceNow,NOW,0.0,0.0,1
2019-10-18,19:13:00,"Let's swap Netflix for Microsoft, Jim Cramer says in FAANG audit","CNBC's Jim Cramer says it's time to retire ""FAANG"" to make way for a new name that represents the five most valuable technology stocks on the S&P 500.",Microsoft,MSFT,0.0,0.3181818181818182,2
2019-10-16,18:48:00,Salesforce's Marc Benioff on the future of Big Tech: 'Capitalism needs guardrails',"""Capitalism needs guardrails. ... That's a very important part of the future of technology as well,"" Salesforce co-CEO Marc Benioff tells CNBC's Jim Cramer.",Salesforce,CRM,0.0,0.26,1
2019-09-23,16:04:00,Zscaler CEO shrugs off Palo Alto Networks: 'They feel the pain and they try to attack everyone',"Zscaler CEO Jay Chaudhry tells Jim Cramer the company is ""very bullish"" about its prospects, despite competition for clients from Palo Alto Networks.",Palo Alto Networks,PANW,0.0,0.2,2
2019-09-17,20:16:00,"Everything Jim Cramer said on 'Mad Money,' including Fed meeting, Microsoft and Apple, Pelosi","Jim Cramer explains what to expect from the Federal Reserve's September meeting, why Microsoft and Apple's stock could soon pop, and his wide-ranging interview with House Speaker Nancy Pelosi.",Microsoft,MSFT,-0.625,0.0,1
2019-09-17,18:39:00,"Charts show Microsoft, Apple may be ready to surge and take Wall Street to new heights: Jim Cramer","Jim Cramer takes a look at chart analysis of Apple and Microsoft by Stock Market Mentor founder and technician Dan Fitzpatrick, who sees bullish signs in the stocks.",Microsoft,MSFT,0.16818181818181818,0.0,2
2019-08-27,19:06:00,Cramer's lightning round: Discipline says sell some of the hot Enphase stock,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Enphase,ENPH,0.024999999999999994,-0.4125,1
2019-08-26,13:31:00,"Digital wave and values-based business are driving Salesforce's growth, CEO says","Companies want to know our values and if they work with us, ""they want to be aligned with those values,"" Salesforce co-CEO Keith Block says.",Salesforce,CRM,0.0,0.0,2
